exac_id,name
amnhc_2000218,Spalding Expedition
amnhc_2000219,Eastman-Pomeroy-Akeley Expedition
amnhc_2000221,Taylor Sudan Expedition
amnhc_2000222,Northwestern Brazil Expedition
amnhc_2000223,Ruwenzori-Kivu Expedition (Chapin-Sage)
amnhc_2000224,Vernay Faunthorpe Expedition
amnhc_2000225,Expedition to Arizona/ New Mexico.
amnhc_2000226,Expedition to Mexico
amnhc_2000227,Expedition to North Carolina
amnhc_2000228,Expedition to Norway and Sweden
amnhc_2000229,Expedition to the Gaspe Peninsula
amnhc_2000230,Expedition to the Mediterranean
amnhc_2000231,Griscom-Crosby Expedition to Eastern Panama
amnhc_2000232,Heilner Expedition to Alaska
amnhc_2000233,Putnam Baffin Island Expedition
amnhc_2000234,Vertebrate Palaeontology Expedition
amnhc_2000235,The Woodcraft Indian Trip
amnhc_2000236,Day Roraima Expedition
amnhc_2000237,Carlisle-Clark African Expedition
amnhc_2000238,Herpetology Expedition
amnhc_2000240,Sanford-Legendre African Expedition
amnhc_2000241,Schwarz European Expedition
amnhc_2000242,Stoll-McCracken Siberian-Arctic Expedition
amnhc_2000243,Thorne-Correia Expedition
amnhc_2000244,Vert. Palaeontology Expeditions.
amnhc_2000245,Weber Panama Expedition
amnhc_2000247,Tyler Duida Expedition
amnhc_2000248,Rockefeller-Murphy Expedition (Tanganyika Expedition)
amnhc_2000249,Vaillant Expedition to Mexico
amnhc_2000250,Kahn-Granger Expedition
amnhc_2000252,Ackland Georgia Expedition
amnhc_2000253,Bernheimer Expedition (7)
amnhc_2000254,Canyon del Muerto Expedition
amnhc_2000255,Curran Panama Expedition
amnhc_2000256,De Sola Cuban Expedition
amnhc_2000258,Heilprin Yucatan Expedition
amnhc_2000259,Klingel Haiti Expedition
amnhc_2000260,Straus Central African Expedition
amnhc_2000261,Thompson Archaeological Expedition
amnhc_2000262,Heilprin Expedition to Santo Domingo
amnhc_2000263,Heilprin Florida Expedition
amnhc_2000264,Madagascar Expedition
amnhc_2000265,Morden-Graves Asiatic Expedition
amnhc_2000266,Ottley-Anthony South American Expedition
amnhc_2000267,Texas-Colorado Archaeological Expedition
amnhc_2000268,Pictograph Project
amnhc_2000269,Polynesian Expedition
amnhc_2000270,Columbia University-American Museum Expedition
amnhc_2000271,Martin Johnson African Expedition
amnhc_2000272,Snodgrasse-Folsom Expedition
amnhc_2000273,Bacon-Miner Expedition
amnhc_2000274,Barro Colorado Entomological Expedition
amnhc_2000275,Bermuda Oceanographic Expedition.
amnhc_2000276,Bernheimer Expedition 8
amnhc_2000277,Galapagos Islands Expedition
amnhc_2000278,Guinea Expedition
amnhc_2000279,Mead Nebraska Expedition
amnhc_2000280,Noble West Virginia Expedition
amnhc_2000281,Olson Archaeological Expedition to Peru and Ecuador
amnhc_2000282,Vernay-Lang Kalahari Expedition
amnhc_2000283,Wissler Arkansas Expedition
amnhc_2000284,Frick Vertebrate Palaeontology Expedition
amnhc_2000285,"Klingel West Indies Expedition on board ""Basilisk"""
amnhc_2000286,Chapin-Edson Congo Expedition
amnhc_2000287,Scarritt-Patagonian Expedition
amnhc_2000288,Barnum Brown Expedition
amnhc_2000289,Boekelman Shell Heap Project
amnhc_2000290,Brady Reptile Field Trip
amnhc_2000291,O' Donnell-Clark African Expediton
amnhc_2000292,Pacaraima-Venezuela Expedition
amnhc_2000293,Legendre Indo-China Expedition
amnhc_2000295,Mead New Guinea Expedition
amnhc_2000296,Anthony-Ottley Venezuelan Expedition
amnhc_2000297,Bennett Expedition to Peru
amnhc_2000298,Brown Vertebrate Palaeontology Expedition
amnhc_2000299,Phipps-Bradley Expedition
amnhc_2000300,Pratt Honduras Expedition
amnhc_2000301,Shapiro Expedition to the Orient
amnhc_2000302,Armstrong Santo Domingo Expedition
amnhc_2000303,Bird Expedition to Tierra del Fuego
amnhc_2000304,Bennett-Bird Bolivian Expedition (2 Expeditions)
